url,label,source
https://public.gensparkspace.com/api/files/s/R6qWh9MT,phish,openphish
http://metamsk_loogii.godaddysites.com,phish,openphish
http://zimbra-mail.pages.dev,phish,openphish
http://microsoft-copilot-porxy-5sv.pages.dev/login.srf?wa=wsignin1.0,phish,openphish
http://microsoft-copilot-porxy-hns.pages.dev/login.srf?wa=wsignin1.0,phish,openphish
http://michaelalves-darmlabs.github.io/minicurso-prog-web,phish,openphish
http://sso-coinhold-portal.framer.ai,phish,openphish
https://lqyv15018k2oos9rhbt.waie.de/LQyv1/K2ooS9rHbT/IyysykJswq7Ql14OrBCa4D9qgen/LQyv1/K2ooS9rHbT/Sales/5018/measat.com/IyysykJswq7Ql14OrBCa,phish,openphish
http://welcome-coin-base-usa.framer.ai,phish,openphish
https://6aa2q5225vevlqqkiyc.peou.de/6Aa2Q/VEvLqQkIyC/9OwFlNPiS4NO7h7LPl0K4D9qgen/6Aa2Q/VEvLqQkIyC/Sales/5225/elevatedresources.com/9OwFlNPiS4NO7h7LPl0K,phish,openphish
https://www.roblox.tc/users/2183032244/profile,phish,openphish
http://pub-f9a5c0a6eb6f4ccdae33c7dfb02df452.r2.dev/index.html,phish,openphish
https://bashfulawsuso34rgv0dzhoaqlr2nfdlyrf9ef1move.surge.sh,phish,openphish
https://real-effect-585505.framer.app,phish,openphish
https://booking.guest-52.com/PUPQ9NK4S,phish,openphish
https://booking.guest-52.com/89SSNT4LM,phish,openphish
https://booking.guest-52.com/ZNY8L1NVB,phish,openphish
http://booking.guest-52.com/32558862,phish,openphish
https://booking.guest-52.com/27327164,phish,openphish
https://www.roblox.tc/users/5476693407/profile,phish,openphish
https://www.yahoomail.vercel.app,phish,openphish
http://www.whatappbagya.blogspot.com,phish,openphish
https://fbib37930sybxqkdfju.leqw.de/FBIb3/SYbXQkdfjU/kyMx8owoICtJJh1MgOQy4D9qgen/FBIb3/SYbXQkdfjU/Accountspayable/7930/grasmickproduce.com/kyMx8owoICtJJh1MgOQy,phish,openphish
http://pub-ff2c89d21ea94dadac399b2d3cd15ad1.r2.dev/index.html,phish,openphish
http://www.lcloud.app/joshy1990,phish,openphish
http://roblox.com.ge/users/3567083155/profile,phish,openphish
http://account-system-upgrade-testings-fr.vercel.app/meta-verified-for-business,phish,openphish
https://metamask-dev-dashboard-feat-remove-prora-consensys-ddffed67.vercel.app/login,phish,openphish
http://metamask-dev-dashboard-feat-remove-prora-consensys-ddffed67.vercel.app,phish,openphish
https://shortlink.st/vBAKCJIT?https://www.roblox.com/users/9619370074/profile,phish,openphish
https://tkseo.top,phish,openphish
http://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/nfcu/my-profile/sign-in,phish,openphish
https://skywin77slot.com,phish,openphish
https://www.news-nine-wheat.vercel.app,phish,openphish
https://www.salanaservice-dalhi.com/wp-content/nio/NRD/56e641b/Sign_in.php,phish,openphish
https://pay.mojdpd.si/Payment/DPD2001,phish,openphish
http://megobell.vercel.app,phish,openphish
http://my-netflix-v2-with-auth.vercel.app,phish,openphish
http://tokenqb.vip,phish,openphish
https://accounts.marketwebb.me,phish,openphish
http://meenu-babu.github.io/facebook-login,phish,openphish
https://slgldld382-netizen.github.io/fewf,phish,openphish
http://maxim-semikov.github.io/roblox,phish,openphish
https://itunesapple.applestore.workers.dev/in/health,phish,openphish
https://ladger-live-login.vercel.app/ledger%20form/index.html,phish,openphish
http://trustbitcoingiveaway.com/wallet/index.html,phish,openphish
http://f.digitalmaillane.com/igit/4/8mmu0l1Qdidfa6nye8QrzpQrcwu8nQojdQba2QlyQeQ7,phish,openphish
https://livedappsrestore.pages.dev/app,phish,openphish
http://marlonpe3.github.io/entreganetflix,phish,openphish
http://marlonpe3.github.io/piratanetflix,phish,openphish
http://manish-850.github.io/instagram-ui,phish,openphish
http://maneesh004-code.github.io/netflix-clone,phish,openphish
https://www.roberthood.net/me/young/quak/bizmail.php,phish,openphish
https://tx1015.com/dec01/boxMrenewal.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=M21haWxAYS5iLmMw&.rand=13InboxLight.aspx?n=1774256418&fid=4,phish,openphish
https://tx1015.com/dec01/index.php?email=3mail@a.b.c0,phish,openphish
https://alyananx-nindoz.spaceinewsn.my.id,phish,openphish
https://amazon-clone-olive-eight.vercel.app,phish,openphish
http://www.amazon-clone-peach-eta.vercel.app,phish,openphish
https://laniesrs-coalawner-429342-lksdicn-vnsrisnr.pages.dev/robots.txt,phish,openphish
https://live-ledgerlive.vercel.app,phish,openphish
http://s3.us-east-1.amazonaws.com/viewspdf.secure/handbook_v3.html,phish,openphish
http://www.squareonee-sa.store/fr/boitevocale.orange.fr,phish,openphish
http://site-h3ovtbvj0.godaddysites.com,phish,openphish
https://vodafone.partner.simo.co,phish,openphish
https://web-git-feature-universal-farm.pancake.run/trading-reward/cake-stakers,phish,openphish
https://web-git-feature-universal-farm.pancake.run/trading-reward,phish,openphish
https://bwhyour-pending23.com/5650337918,phish,openphish
https://www.wallet-landing-near.vercel.app,phish,openphish
http://ebay-seller-center-managedpayments.vercel.app,phish,openphish
http://trezorwalazt.webflow.io,phish,openphish
http://mail.webaccess-alert.com/s/63bzgfsvbwsfcdx7y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a,phish,openphish
http://www.stroomvolgen.docsecure.co.za/tracking,phish,openphish
https://phantom-backup.com/web,phish,openphish
https://walliet-ledger-login.vercel.app/ledger%20form/index.html,phish,openphish
https://saintdashboard.com,phish,openphish
https://meta_rewards_you525.4insta.us,phish,openphish
https://rdcub-acml6-ne-jp.com/qrc/login.html,phish,openphish
http://jiolatest.vercel.app,phish,openphish
http://roblox.com.ml/communities/4441570601/ADOPTMEBNS,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/284755512051484,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/600347623030106,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/144372973494927,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/392560119705856,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/153875618812972,phish,openphish
https://kv-cont-blared.pages.dev/help/contact/811739554195451,phish,openphish
https://kunal-w07.github.io/netflix-clone,phish,openphish
http://www.0888naveankorea-oneinamillion-class.vercel.app,phish,openphish
http://bwhyour-pending23.com/6566363500,phish,openphish
http://courierguy-thedelivery-southafrica.pages.dev,phish,openphish
http://roblox.al/users/3756573833/profile,phish,openphish
http://www.santanderbranchdesign.com,phish,openphish
http://www.customers-m.business-minagne.com,phish,openphish
https://customers-m.business-minagne.com,phish,openphish
http://www.trezosuiteapp.vercel.app,phish,openphish
https://komal-b-123.github.io/facebook,phish,openphish
https://ginimin-logen.gitbook.io,phish,openphish
http://b220t.xyz,phish,openphish
https://tranquil-hours-308043.framer.app,phish,openphish
http://cowanbase_prwlogius.godaddysites.com,phish,openphish
https://ipfs.io/ipfs/bafkreigq7fjq664hgiaykaboaurifd4dxdcunjsmvgdqxwfp7fq3e776dm,phish,openphish
https://my2fa.wpenginepowered.com/xc/login.html,phish,openphish
https://my2fa.wpenginepowered.com/xc,phish,openphish
https://firformans.4lima.de/dewayonlineokbronoreplyooouo/app/login.php,phish,openphish
http://coin-base-pro.framer.ai,phish,openphish
http://a-mettamaxsk-logjiin.godaddysites.com,phish,openphish
